dataset,n,model,kernel,bandwidth,kappa,mean_test_rss,sd_test_rss,mean_test_mae_deg,n_folds
EE+0p2-data-225x225/EE_0.2data_rot_-22deg/arrow_segments.mat,136,RBF NW smoother,rbf,24.302921676393932,,0.532631529240258,0.2024537337851534,34.57477653098755,5
EE+0p2-data-225x225/EE_0.2data_rot_-22deg/arrow_segments.mat,136,RBF NW smoother,rbf,26.221066744113397,,0.614538578486715,0.21338030573036118,38.02401288991671,5
EE+0p2-data-225x225/EE_0.2data_rot_-22deg/arrow_segments.mat,136,RBF NW smoother,rbf,28.29060432956419,,0.699355149812355,0.22433603949412678,41.120454609646266,5
EE+0p2-data-225x225/EE_0.2data_rot_-22deg/arrow_segments.mat,136,RBF NW smoother,rbf,30.523483317536485,,0.7710661074653993,0.24186322584519432,43.56466484758687,5
EE+0p2-data-225x225/EE_0.2data_rot_-22deg/arrow_segments.mat,136,RBF NW smoother,rbf,32.93259567673154,,0.831691655621958,0.25733623893828433,45.63407580859014,5
EE+0p2-data-225x225/EE_0.2data_rot_-22deg/arrow_segments.mat,136,RBF NW smoother,rbf,35.531850894094156,,0.8823045492672998,0.2688997817220455,47.31382980745906,5
EE+0p2-data-225x225/EE_0.2data_rot_-22deg/arrow_segments.mat,136,RBF NW smoother,rbf,38.33625628398813,,0.9182689691930811,0.2742815470803432,48.57397911690491,5
EE+0p2-data-225x225/EE_0.2data_rot_-22deg/arrow_segments.mat,136,RBF NW smoother,rbf,41.3620036358955,,0.9467682605227354,0.2754232420728616,49.56695328879692,5
EE+0p2-data-225x225/EE_0.2data_rot_-22deg/arrow_segments.mat,136,RBF NW smoother,rbf,44.62656270091733,,0.9649833793527204,0.28356602964337996,50.28381460252404,5
EE+0p2-data-225x225/EE_0.2data_rot_-22deg/arrow_segments.mat,136,RBF NW smoother,rbf,48.1487820568388,,0.9787825172590969,0.28972991725381586,50.814735656219334,5
EE+0p2-data-225x225/EE_0.2data_rot_-22deg/arrow_segments.mat,136,RBF NW smoother,rbf,51.94899793412292,,0.9891965517033808,0.29406858416733,51.19762446223733,5
EE+0p2-data-225x225/EE_0.2data_rot_-22deg/arrow_segments.mat,136,RBF NW smoother,rbf,56.04915163116154,,0.9967688641677821,0.29700427880692487,51.461108045003485,5
EE+0p2-data-225x225/EE_0.2data_rot_-22deg/arrow_segments.mat,136,RBF NW smoother,rbf,60.472916196703494,,1.0016817329943108,0.2986410290962037,51.62567865381021,5
EE+0p2-data-225x225/EE_0.2data_rot_-22deg/arrow_segments.mat,136,RBF NW smoother,rbf,65.24583311088625,,1.0047898250664997,0.30020814358352926,51.72137514879752,5
EE+0p2-data-225x225/EE_0.2data_rot_-22deg/arrow_segments.mat,136,RBF NW smoother,rbf,70.39545975402585,,1.0067252576345376,0.3017438005189496,51.77454236702397,5
EE+0p2-data-225x225/EE_0.2data_rot_-22deg/arrow_segments.mat,136,RBF NW smoother,rbf,75.9515285146056,,1.0078462524118614,0.30324494994914625,51.796191542193625,5
EE+0p2-data-225x225/EE_0.2data_rot_-22deg/arrow_segments.mat,136,RBF NW smoother,rbf,81.94611845510454,,1.0083891855682103,0.30469349880972957,51.79766060367717,5
EE+0p2-data-225x225/EE_0.2data_rot_-22deg/arrow_segments.mat,136,RBF NW smoother,rbf,88.41384052681296,,1.00853568970338,0.30606599253982997,51.78745604549454,5
