dataset,model,bandwidth,kappa,mean_test_rss,mean_test_mae_deg,n_folds
EE-0p23-data-225x225/EE-0.23data_rot_90deg/arrow_segments.mat,RBF NW smoother,3.9251263149839914,,0.24669991175953862,21.30547176996061,5
EE-0p23-data-225x225/EE-0.23data_rot_90deg/arrow_segments.mat,Uniform NW smoother,7.207565326386083,,0.2594996759448559,22.06157197148877,5
EE-0p4-data-225x225/EE-0.4data_rot_31deg/arrow_segments.mat,RBF-von-Mises NW smoother,220.0,24.0,0.21066111594735815,17.85942841696042,5
EE-0p4-data-225x225/EE-0.4data_rot_31deg/arrow_segments.mat,RBF NW smoother,7.207565326386083,,0.30978029874685953,24.206852186972434,5
EE-0p4-data-225x225/EE-0.4data_rot_31deg/arrow_segments.mat,Uniform NW smoother,10.537750970713459,,0.3302799656485983,25.430617146688665,5
EE-0p42-data-225x225/EE-0.42data_rot_-12deg/arrow_segments.mat,RBF-von-Mises NW smoother,10.537750970713459,4.0,0.21874575155606446,20.33752099889612,5
EE-0p42-data-225x225/EE-0.42data_rot_-12deg/arrow_segments.mat,RBF NW smoother,8.390200221331185,,0.22854032728634016,21.512355539003497,5
EE-0p42-data-225x225/EE-0.42data_rot_-12deg/arrow_segments.mat,Uniform NW smoother,16.622607242425104,,0.2238413708168267,21.267171663547707,5
EE-0p43-data-225x225/EE-0.43data_rot_56.5deg/arrow_segments.mat,RBF-von-Mises NW smoother,5.73869285436427,64.0,0.17182125123713365,15.592986523361386,5
EE-0p43-data-225x225/EE-0.43data_rot_56.5deg/arrow_segments.mat,RBF NW smoother,3.3718628379854825,,0.23036505113186267,20.62858352645849,5
EE-0p43-data-225x225/EE-0.43data_rot_56.5deg/arrow_segments.mat,Uniform NW smoother,7.207565326386083,,0.2379870061917418,21.295157870193016,5
EE-0p6-data-225x225/EE-0.6data_rot_-67deg/arrow_segments.mat,RBF-von-Mises NW smoother,5.318891268823249,8.0,0.21305143756697462,21.48138263989356,5
EE-0p6-data-225x225/EE-0.6data_rot_-67deg/arrow_segments.mat,RBF NW smoother,5.318891268823249,,0.24182931943461225,23.12081073448441,5
EE-0p6-data-225x225/EE-0.6data_rot_-67deg/arrow_segments.mat,Uniform NW smoother,10.537750970713459,,0.25148023380932777,23.213370994676485,5
EE-0p62-data-225x225/EE-0.62data_rot_27deg/arrow_segments.mat,RBF-von-Mises NW smoother,13.23498755589342,4.0,0.257231598721977,22.628507493440154,5
EE-0p62-data-225x225/EE-0.62data_rot_27deg/arrow_segments.mat,RBF NW smoother,10.537750970713459,,0.27802465636199397,23.322447150264846,5
EE-0p62-data-225x225/EE-0.62data_rot_27deg/arrow_segments.mat,Uniform NW smoother,22.525094336275785,,0.28958973857072123,23.686678917868882,5
EE-0p63-data-225x225/EE-0.63data_rot_6deg/arrow_segments.mat,RBF-von-Mises NW smoother,14.279579084422442,32.0,0.2137862677309677,20.914298274402864,5
EE-0p63-data-225x225/EE-0.63data_rot_6deg/arrow_segments.mat,RBF NW smoother,5.73869285436427,,0.28173608360730334,24.541941596991286,5
EE-0p63-data-225x225/EE-0.63data_rot_6deg/arrow_segments.mat,Uniform NW smoother,14.279579084422442,,0.3186298268764043,25.946331307820703,5
EE-0p8-data-226x225/EE-0.8data_rot_34deg/arrow_segments.mat,RBF-von-Mises NW smoother,6.680311572143722,32.0,0.11306518792322577,14.800561760844165,5
EE-0p8-data-226x225/EE-0.8data_rot_34deg/arrow_segments.mat,RBF NW smoother,4.569170612463134,,0.25872374557412164,21.9949970758969,5
EE-0p8-data-226x225/EE-0.8data_rot_34deg/arrow_segments.mat,Uniform NW smoother,10.537750970713459,,0.2668138673029683,22.60295243263056,5
EE-0p82-data-225x225/EE-0.82data_rot_37deg/arrow_segments.mat,RBF-von-Mises NW smoother,16.622607242425104,64.0,0.12614395272252182,15.569562801211612,5
EE-0p82-data-225x225/EE-0.82data_rot_37deg/arrow_segments.mat,RBF NW smoother,5.73869285436427,,0.2420733595634915,22.586742692558698,5
EE-0p82-data-225x225/EE-0.82data_rot_37deg/arrow_segments.mat,Uniform NW smoother,14.279579084422442,,0.263871679015082,23.41217623600844,5
EE-0p83-data-226x225/EE-0.83data_rot_-41.5deg/arrow_segments.mat,RBF-von-Mises NW smoother,16.622607242425104,12.0,0.20735170369555708,17.296516303607156,5
EE-0p83-data-226x225/EE-0.83data_rot_-41.5deg/arrow_segments.mat,RBF NW smoother,6.680311572143722,,0.26936945801536616,20.917729447598383,5
EE-0p83-data-226x225/EE-0.83data_rot_-41.5deg/arrow_segments.mat,Uniform NW smoother,10.537750970713459,,0.2731355563619474,20.909196400445772,5
EE-1-data-368x368/EE-1data_rot_58deg/arrow_segments.mat,RBF-von-Mises NW smoother,22.525094336275785,64.0,0.12428951180198852,14.448854459495541,5
EE-1-data-368x368/EE-1data_rot_58deg/arrow_segments.mat,RBF NW smoother,3.9251263149839914,,0.21018506161991465,18.52683422669265,5
EE-1-data-368x368/EE-1data_rot_58deg/arrow_segments.mat,Uniform NW smoother,16.622607242425104,,0.228183834016379,20.333287222058182,5
EE-1-data-368x368/EE-1data_rot_60.5deg/arrow_segments.mat,RBF-von-Mises NW smoother,9.76688473378327,64.0,0.19101638461090742,15.817252688694143,5
EE-1-data-368x368/EE-1data_rot_60.5deg/arrow_segments.mat,RBF NW smoother,9.05240953863139,,0.26883594372026504,20.855902289409766,5
EE-1-data-368x368/EE-1data_rot_60.5deg/arrow_segments.mat,Uniform NW smoother,22.525094336275785,,0.24361207407144314,20.340647540007502,5
EE-12-data-368x368/EE-12data_rot_78.5deg/arrow_segments.mat,RBF-von-Mises NW smoother,10.537750970713459,8.0,0.1943457636369373,17.12479503436821,5
EE-12-data-368x368/EE-12data_rot_78.5deg/arrow_segments.mat,RBF NW smoother,6.680311572143722,,0.22072177177313845,19.01017538432042,5
EE-12-data-368x368/EE-12data_rot_78.5deg/arrow_segments.mat,Uniform NW smoother,7.207565326386083,,0.23970572686482122,21.233678915512055,5
EE-12-data-368x368/EE-12data_rot_80deg/arrow_segments.mat,RBF-von-Mises NW smoother,20.87732008579673,64.0,0.14509688888532501,14.502018120989499,5
EE-12-data-368x368/EE-12data_rot_80deg/arrow_segments.mat,RBF NW smoother,6.680311572143722,,0.24265223418935267,20.56240301709908,5
EE-12-data-368x368/EE-12data_rot_80deg/arrow_segments.mat,Uniform NW smoother,16.622607242425104,,0.24959327139807114,21.352129760144123,5
EE-13-data-225x225/EE-13data_rot_59deg/arrow_segments.mat,RBF-von-Mises NW smoother,13.23498755589342,12.0,0.1009063787503639,13.239187618956416,5
EE-13-data-225x225/EE-13data_rot_59deg/arrow_segments.mat,RBF NW smoother,8.390200221331185,,0.11831995969171719,14.993520767686856,5
EE-13-data-225x225/EE-13data_rot_59deg/arrow_segments.mat,Uniform NW smoother,16.622607242425104,,0.12632099418422435,15.772845421915514,5
EE-13-data-225x225/EE-13data_rot_64.5deg/arrow_segments.mat,RBF-von-Mises NW smoother,9.05240953863139,64.0,0.13372682367472585,14.75881635679346,5
EE-13-data-225x225/EE-13data_rot_64.5deg/arrow_segments.mat,RBF NW smoother,4.9297993545776215,,0.18019680556246193,18.454068402309044,5
EE-13-data-225x225/EE-13data_rot_64.5deg/arrow_segments.mat,Uniform NW smoother,14.279579084422442,,0.2052204221815331,19.935981894620877,5
EE0-data-225x225/EE0data_rot_34.5deg/arrow_segments.mat,RBF-von-Mises NW smoother,17.93457180863057,24.0,0.13187881546026,14.377807244295633,5
EE0-data-225x225/EE0data_rot_34.5deg/arrow_segments.mat,RBF NW smoother,7.776433385344691,,0.15335193970836924,16.956034055165,5
EE0-data-225x225/EE0data_rot_34.5deg/arrow_segments.mat,Uniform NW smoother,16.622607242425104,,0.17385414611291866,18.686724982156385,5
EE0-data-225x225/EE0data_rot_37.5deg/arrow_segments.mat,RBF-von-Mises NW smoother,220.0,16.0,0.11119145539634394,11.844205527825196,5
EE0-data-225x225/EE0data_rot_37.5deg/arrow_segments.mat,RBF NW smoother,7.776433385344691,,0.13913099318549627,15.079967984586421,5
EE0-data-225x225/EE0data_rot_37.5deg/arrow_segments.mat,Uniform NW smoother,10.537750970713459,,0.14440776468282554,16.09616043528882,5
EE02-data-225x225/EE02data_rot_57.5deg/arrow_segments.mat,RBF-von-Mises NW smoother,5.73869285436427,64.0,0.2944537847525696,23.39709357943951,5
EE02-data-225x225/EE02data_rot_57.5deg/arrow_segments.mat,RBF NW smoother,3.1252015509056803,,0.33400979464878183,24.772497700957324,5
