dataset,n,model,family,mean_test_rss,sd_test_rss,mean_test_mae_deg,p_median,gamma_median
EE+0p82-data-226x225/EE_0.82data_rot_-24.5deg/arrow_segments.mat,123,Parametric p=1 (Archimedean),parametric_fixed_p,0.6716583867614296,0.17797908490766984,39.068773925123,1.0,-1.398506251475295
EE+0p82-data-226x225/EE_0.82data_rot_-24.5deg/arrow_segments.mat,123,Parametric p=2 (Fermat),parametric_fixed_p,0.6082829162581243,0.13563697948319886,36.944696158491425,2.0,-3.1360031156779886
EE+0p82-data-226x225/EE_0.82data_rot_-24.5deg/arrow_segments.mat,123,Parametric continuous p,parametric_continuous_p,0.6060653754090438,0.1366879636326924,37.175775121523124,2.999,-3.141232907110937
EE+0p83-data-226x225/EE_0.83data_rot_43deg/arrow_segments.mat,158,Parametric p=0 (Logarithmic),parametric_fixed_p,0.7444109871782036,0.14070699302410303,41.899120398027,0.0,-0.3341045111825791
EE+0p83-data-226x225/EE_0.83data_rot_43deg/arrow_segments.mat,158,Parametric p=1 (Archimedean),parametric_fixed_p,0.7652914905491317,0.10155794077637013,42.7060777165304,1.0,0.04649808483522171
EE+0p83-data-226x225/EE_0.83data_rot_43deg/arrow_segments.mat,158,Parametric p=2 (Fermat),parametric_fixed_p,0.7599363563505112,0.156919369331943,43.528566296661474,2.0,-0.01590500214739154
EE+0p83-data-226x225/EE_0.83data_rot_43deg/arrow_segments.mat,158,Parametric continuous p,parametric_continuous_p,0.7451548757932376,0.12317309058250057,42.206314281352675,2.95000000000287,2.7441601548113503e-05
EE+1-data-225x225/EE_1data_rot_0deg/arrow_segments.mat,194,Parametric p=0 (Logarithmic),parametric_fixed_p,0.7091879175189506,0.15980893850497424,41.468415909439635,0.0,1.2845016149976916
EE+1-data-225x225/EE_1data_rot_0deg/arrow_segments.mat,194,Parametric p=1 (Archimedean),parametric_fixed_p,0.6866626441795343,0.16167996592956613,40.59826016866863,1.0,-2.9450576776514676
EE+1-data-225x225/EE_1data_rot_0deg/arrow_segments.mat,194,Parametric p=2 (Fermat),parametric_fixed_p,0.685662771030968,0.15673434648310242,40.334541843218304,2.0,-3.1171131975850286
EE+1-data-225x225/EE_1data_rot_0deg/arrow_segments.mat,194,Parametric continuous p,parametric_continuous_p,0.7055424194872846,0.16095180923163657,41.3889281581163,0.8762711733524932,-2.8443223091190943
EE+12-data-225x225/EE_12data_rot_-41.5deg/arrow_segments.mat,101,Parametric p=0 (Logarithmic),parametric_fixed_p,0.6828815550538856,0.1742109428440399,40.13686447569174,0.0,1.459576678169046
EE+12-data-225x225/EE_12data_rot_-41.5deg/arrow_segments.mat,101,Parametric p=1 (Archimedean),parametric_fixed_p,0.6961794285433636,0.18159236764023923,40.792556750475676,1.0,-0.6411255133900129
EE+12-data-225x225/EE_12data_rot_-41.5deg/arrow_segments.mat,101,Parametric p=2 (Fermat),parametric_fixed_p,0.650933665478265,0.16929961263369306,39.05005206166891,2.0,1.458409747808595
EE+12-data-225x225/EE_12data_rot_-41.5deg/arrow_segments.mat,101,Parametric continuous p,parametric_continuous_p,0.6462518066106668,0.15989836070904623,39.0094467138024,2.999,3.1250820563368205
EE+13-data-225x225/EE_13data_rot_34.5deg/arrow_segments.mat,80,Parametric p=0 (Logarithmic),parametric_fixed_p,0.6314848453066604,0.22053979160737391,37.74352840119278,0.0,1.8116772507861758
EE+13-data-225x225/EE_13data_rot_34.5deg/arrow_segments.mat,80,Parametric p=1 (Archimedean),parametric_fixed_p,0.6247001028278836,0.2177866681638584,37.57018095359658,1.0,-0.1598724457987587
EE+13-data-225x225/EE_13data_rot_34.5deg/arrow_segments.mat,80,Parametric p=2 (Fermat),parametric_fixed_p,0.6355227145849753,0.20855119802130737,37.70980951318697,2.0,-0.014356153984825072
EE+13-data-225x225/EE_13data_rot_34.5deg/arrow_segments.mat,80,Parametric continuous p,parametric_continuous_p,0.6689840616300542,0.2308427993651497,38.68198875650624,0.11922424829414219,-1.192005766833164
EE-0p2-data-225x225/EE-0.2data_rot_62.5deg/arrow_segments.mat,196,Parametric p=0 (Logarithmic),parametric_fixed_p,0.8270511663924115,0.15684551300964344,45.162457904072056,0.0,0.9010596355775974
EE-0p2-data-225x225/EE-0.2data_rot_62.5deg/arrow_segments.mat,196,Parametric p=1 (Archimedean),parametric_fixed_p,0.7353444216883798,0.1532450217198459,42.42885677201268,1.0,-3.0471546028261276
EE-0p2-data-225x225/EE-0.2data_rot_62.5deg/arrow_segments.mat,196,Parametric p=2 (Fermat),parametric_fixed_p,0.7430392131840092,0.14889440822682282,42.72220835796873,2.0,-1.5684652069881264
EE-0p2-data-225x225/EE-0.2data_rot_62.5deg/arrow_segments.mat,196,Parametric continuous p,parametric_continuous_p,0.7628424569680211,0.1503861354003006,43.34140903546779,2.0800992991465765,-3.129463072869598
EE-0p22-data-225x225/EE-0.22data_rot_0deg/arrow_segments.mat,167,Parametric p=0 (Logarithmic),parametric_fixed_p,0.7396119927796809,0.17520817610851155,42.436837210183896,0.0,-1.5693196088300831
EE-0p22-data-225x225/EE-0.22data_rot_0deg/arrow_segments.mat,167,Parametric p=1 (Archimedean),parametric_fixed_p,0.7333395516145613,0.17693109529027418,42.1198206748449,1.0,-0.9956123210689936
EE-0p22-data-225x225/EE-0.22data_rot_0deg/arrow_segments.mat,167,Parametric p=2 (Fermat),parametric_fixed_p,0.7262455766093471,0.15395756221776538,41.90514015400367,2.0,2.6744656179088233
EE-0p22-data-225x225/EE-0.22data_rot_0deg/arrow_segments.mat,167,Parametric continuous p,parametric_continuous_p,0.7482624312465804,0.16997850476937953,42.994460024435526,-0.6911024804100205,-0.19607363656080198
EE-0p23-data-225x225/EE-0.23data_rot_90deg/arrow_segments.mat,117,Parametric p=0 (Logarithmic),parametric_fixed_p,0.7805560027717673,0.27014382841262263,43.707122357399264,0.0,1.674430192438358
EE-0p23-data-225x225/EE-0.23data_rot_90deg/arrow_segments.mat,117,Parametric p=1 (Archimedean),parametric_fixed_p,0.7505984634190342,0.2046779286921577,42.702844192130094,1.0,2.6416037100132614
EE-0p23-data-225x225/EE-0.23data_rot_90deg/arrow_segments.mat,117,Parametric p=2 (Fermat),parametric_fixed_p,0.7544101229461141,0.17366003865462262,42.905491634817714,2.0,3.032000122045943
EE-0p23-data-225x225/EE-0.23data_rot_90deg/arrow_segments.mat,117,Parametric continuous p,parametric_continuous_p,0.8626725845460973,0.265713647405452,46.41978958156588,-0.999,1.5662083806462765
EE-0p4-data-225x225/EE-0.4data_rot_31deg/arrow_segments.mat,92,Parametric p=0 (Logarithmic),parametric_fixed_p,0.566428281375942,0.23631144119712527,35.48621239985322,0.0,-0.03879511665332702
EE-0p4-data-225x225/EE-0.4data_rot_31deg/arrow_segments.mat,92,Parametric p=1 (Archimedean),parametric_fixed_p,0.5685887371930771,0.24326661007930184,35.490381816058346,1.0,-1.2578842278186881
EE-0p4-data-225x225/EE-0.4data_rot_31deg/arrow_segments.mat,92,Parametric p=2 (Fermat),parametric_fixed_p,0.5651775366441746,0.23568263954317512,35.54723570180424,2.0,-0.4516862670908428
EE-0p4-data-225x225/EE-0.4data_rot_31deg/arrow_segments.mat,92,Parametric continuous p,parametric_continuous_p,0.580122360679152,0.23911173442097416,36.047306685548016,-0.999,1.5623619382656413
EE-0p42-data-225x225/EE-0.42data_rot_-12deg/arrow_segments.mat,90,Parametric p=0 (Logarithmic),parametric_fixed_p,0.7591351261919226,0.2794625964889062,42.88669182612189,0.0,-1.8830446484222216
