dataset,n,model,family,p,gamma,rss,rss_per_point,mae_deg,log_likelihood,bic,bic_log_evidence,k_params
EE+0p8-data-226x225/EE_0.8data_rot_0deg/arrow_segments.mat,163,Parametric continuous p,parametric_continuous_p,-0.999,-1.5608029972288762,107.20185781798749,0.6576801093128066,38.89631857265693,-197.13549622518434,404.4584928519822,-202.2292464259911,2
EE+0p82-data-226x225/EE_0.82data_rot_-24.5deg/arrow_segments.mat,123,Parametric p=0 (Logarithmic),parametric_fixed_p,0.0,1.4622582398038875,82.95798557687658,0.6744551672916795,39.78065537488878,-150.3076600573953,305.42750447016306,-152.71375223508153,1
EE+0p82-data-226x225/EE_0.82data_rot_-24.5deg/arrow_segments.mat,123,Parametric p=1 (Archimedean),parametric_fixed_p,1.0,0.15298359113459856,78.2667096632364,0.636314712709239,37.95190579063301,-146.7276261704755,298.26743669632344,-149.13371834816172,1
EE+0p82-data-226x225/EE_0.82data_rot_-24.5deg/arrow_segments.mat,123,Parametric p=2 (Fermat),parametric_fixed_p,2.0,0.0052406258707833565,73.51588499004043,0.5976901218702474,36.60921702565563,-142.87644429741508,290.5650729502026,-145.2825364751013,1
EE+0p82-data-226x225/EE_0.82data_rot_-24.5deg/arrow_segments.mat,123,Parametric continuous p,parametric_continuous_p,2.999,0.0002605777212053775,72.43319063232094,0.5888877287180565,36.62120466343144,-141.96397638096266,293.55232147267014,-146.77616073633507,2
EE+0p83-data-226x225/EE_0.83data_rot_43deg/arrow_segments.mat,158,Parametric p=0 (Logarithmic),parametric_fixed_p,0.0,1.2527392511250446,115.20492701355799,0.7291451076807468,41.77558177510514,-199.23756944561595,403.5377339242589,-201.76886696212944,1
EE+0p83-data-226x225/EE_0.83data_rot_43deg/arrow_segments.mat,158,Parametric p=1 (Archimedean),parametric_fixed_p,1.0,0.06254886656739547,113.66917868920436,0.7194251815772428,41.099204963998325,-198.1773714110302,401.4173378550874,-200.7086689275437,1
EE+0p83-data-226x225/EE_0.83data_rot_43deg/arrow_segments.mat,158,Parametric p=2 (Fermat),parametric_fixed_p,2.0,3.114446704670245,116.33136652123213,0.7362744716533679,42.972598827357594,-200.00625604628024,405.07510712558746,-202.53755356279373,1
EE+0p83-data-226x225/EE_0.83data_rot_43deg/arrow_segments.mat,158,Parametric continuous p,parametric_continuous_p,2.993510270185075,2.400371799394917e-05,108.79738373023932,0.6885910362673374,40.34599265617066,-194.7167763525245,399.55874277110297,-199.77937138555149,2
EE+1-data-225x225/EE_1data_rot_0deg/arrow_segments.mat,194,Parametric p=0 (Logarithmic),parametric_fixed_p,0.0,1.3440593515650492,132.10215889574943,0.6809389633801517,40.35786638813599,-237.99866277816875,481.26518371540084,-240.63259185770042,1
EE+1-data-225x225/EE_1data_rot_0deg/arrow_segments.mat,194,Parametric p=1 (Archimedean),parametric_fixed_p,1.0,0.18918909237705234,129.6061046519201,0.6680727043913407,39.858968082731316,-236.14832301320072,477.5645041854648,-238.7822520927324,1
EE+1-data-225x225/EE_1data_rot_0deg/arrow_segments.mat,194,Parametric p=2 (Fermat),parametric_fixed_p,2.0,-3.120272247567277,130.24410555985833,0.6713613688652491,39.78496891596845,-236.6246452172616,478.5171485935865,-239.25857429679326,1
EE+1-data-225x225/EE_1data_rot_0deg/arrow_segments.mat,194,Parametric continuous p,parametric_continuous_p,0.9027563284086159,0.24991450113653704,129.57505211571174,0.66791263977171,39.84854919496421,-236.1250798417897,482.7858760017061,-241.39293800085304,2
EE+12-data-225x225/EE_12data_rot_-41.5deg/arrow_segments.mat,101,Parametric p=0 (Logarithmic),parametric_fixed_p,0.0,1.5175913352157537,66.02859282839555,0.6537484438455005,39.38203080524072,-121.84864333384907,248.3124071845394,-124.1562035922697,1
EE+12-data-225x225/EE_12data_rot_-41.5deg/arrow_segments.mat,101,Parametric p=1 (Archimedean),parametric_fixed_p,1.0,-0.8894299381882271,65.896213589944,0.6524377583162771,39.20725371205431,-121.74729539228959,248.10971130142045,-124.05485565071022,1
EE+12-data-225x225/EE_12data_rot_-41.5deg/arrow_segments.mat,101,Parametric p=2 (Fermat),parametric_fixed_p,2.0,-0.08055504946984254,65.05831776738353,0.6441417600731042,38.97485077807982,-121.1010509890661,246.81722249497346,-123.40861124748673,1
EE+12-data-225x225/EE_12data_rot_-41.5deg/arrow_segments.mat,101,Parametric continuous p,parametric_continuous_p,2.999,-0.012568821328530197,64.72164693635173,0.640808385508433,38.934108601360904,-120.8390395893058,250.90832021229411,-125.45416010614706,2
EE+13-data-225x225/EE_13data_rot_34.5deg/arrow_segments.mat,80,Parametric p=0 (Logarithmic),parametric_fixed_p,0.0,1.8445084304747361,48.72473295309211,0.6090591619136514,37.021591212110835,-93.68148785672665,191.74500234812717,-95.87250117406359,1
EE+13-data-225x225/EE_13data_rot_34.5deg/arrow_segments.mat,80,Parametric p=1 (Archimedean),parametric_fixed_p,1.0,2.973619906433428,48.910685673037875,0.6113835709129735,37.070712461209915,-93.83385301060365,192.04973265588117,-96.02486632794059,1
EE+13-data-225x225/EE_13data_rot_34.5deg/arrow_segments.mat,80,Parametric p=2 (Fermat),parametric_fixed_p,2.0,3.1239306824311748,49.66233677823874,0.6207792097279843,37.34809610771887,-94.44389065003483,193.26980793474354,-96.63490396737177,1
EE+13-data-225x225/EE_13data_rot_34.5deg/arrow_segments.mat,80,Parametric continuous p,parametric_continuous_p,-0.38217704248060924,1.6814297317971696,48.62621896227317,0.6078277370284146,36.861606913846785,-93.60053207970914,195.96511742876604,-97.98255871438302,2
EE-0p2-data-225x225/EE-0.2data_rot_62.5deg/arrow_segments.mat,196,Parametric p=0 (Logarithmic),parametric_fixed_p,0.0,-1.890114916760173,151.1440469463901,0.7711430966652556,43.43703303335357,-252.64358277056976,510.56528020037007,-255.28264010018503,1
EE-0p2-data-225x225/EE-0.2data_rot_62.5deg/arrow_segments.mat,196,Parametric p=1 (Archimedean),parametric_fixed_p,1.0,0.08245518343795696,143.10004530452915,0.7301022719618834,42.28263360569769,-247.2840282127985,499.8461710848275,-249.92308554241376,1
EE-0p2-data-225x225/EE-0.2data_rot_62.5deg/arrow_segments.mat,196,Parametric p=2 (Fermat),parametric_fixed_p,2.0,-3.1384444422645,141.26850770368122,0.7207576923657205,41.99246088281724,-246.0216300680372,497.32137479530496,-248.66068739765248,1
EE-0p2-data-225x225/EE-0.2data_rot_62.5deg/arrow_segments.mat,196,Parametric continuous p,parametric_continuous_p,2.999,4.469862028668525e-05,139.36571476950996,0.7110495651505611,41.589879942000515,-244.69266481524247,499.94155894894595,-249.97077947447298,2
EE-0p22-data-225x225/EE-0.22data_rot_0deg/arrow_segments.mat,167,Parametric p=0 (Logarithmic),parametric_fixed_p,0.0,-1.6113564105606732,118.71854352895916,0.7108894822093362,41.41662582784819,-208.46933689568638,422.0566676037895,-211.02833380189475,1
EE-0p22-data-225x225/EE-0.22data_rot_0deg/arrow_segments.mat,167,Parametric p=1 (Archimedean),parametric_fixed_p,1.0,1.5951268751722976,118.81112116973497,0.7114438393397304,41.37389405496203,-208.53442546814753,422.1868447487118,-211.0934223743559,1
EE-0p22-data-225x225/EE-0.22data_rot_0deg/arrow_segments.mat,167,Parametric p=2 (Fermat),parametric_fixed_p,2.0,-0.1503778049055304,118.7867473090031,0.7112978880778629,41.37171924137378,-208.5172938550461,422.1525815225089,-211.07629076125446,1
EE-0p22-data-225x225/EE-0.22data_rot_0deg/arrow_segments.mat,167,Parametric continuous p,parametric_continuous_p,-0.999,1.5678084217098367,118.45098791342073,0.7092873527749745,41.67452129319876,-208.28094082947163,426.7978692837768,-213.3989346418884,2
EE-0p23-data-225x225/EE-0.23data_rot_90deg/arrow_segments.mat,117,Parametric p=0 (Logarithmic),parametric_fixed_p,0.0,1.7162543194464732,84.93384339948607,0.7259302854656928,42.1342910865678,-147.2781826685467,299.31853927189115,-149.65926963594558,1
EE-0p23-data-225x225/EE-0.23data_rot_90deg/arrow_segments.mat,117,Parametric p=1 (Archimedean),parametric_fixed_p,1.0,2.729283171960063,84.90368112942694,0.7256724882857004,41.95629795659322,-147.25740407062608,299.27698207604993,-149.63849103802497,1
EE-0p23-data-225x225/EE-0.23data_rot_90deg/arrow_segments.mat,117,Parametric p=2 (Fermat),parametric_fixed_p,2.0,3.0512953048510374,85.61310586243346,0.7317359475421663,42.09551345219222,-147.7441782711957,300.25053047718916,-150.12526523859458,1
EE-0p23-data-225x225/EE-0.23data_rot_90deg/arrow_segments.mat,117,Parametric continuous p,parametric_continuous_p,-0.999,1.5799113614949754,84.52194566698414,0.7224097920255055,42.310163457306665,-146.99378914100598,303.51192615160744,-151.75596307580372,2
EE-0p4-data-225x225/EE-0.4data_rot_31deg/arrow_segments.mat,92,Parametric p=0 (Logarithmic),parametric_fixed_p,0.0,1.5357375389951256,51.07613633270385,0.555175394920694,35.05044285901068,-103.47267039406275,211.46712936517454,-105.73356468258727,1
EE-0p4-data-225x225/EE-0.4data_rot_31deg/arrow_segments.mat,92,Parametric p=1 (Archimedean),parametric_fixed_p,1.0,-1.491697709659477,51.186802141776425,0.5563782841497438,35.07670279378758,-103.57223000540338,211.66624858785582,-105.83312429392791,1
EE-0p4-data-225x225/EE-0.4data_rot_31deg/arrow_segments.mat,92,Parametric p=2 (Fermat),parametric_fixed_p,2.0,-0.5867183394672798,51.16283876637783,0.5561178126780199,35.144801199620396,-103.55068981671884,211.62316821048674,-105.81158410524337,1
