dataset,n,model,kernel,bandwidth,kappa,sigma_n,mean_test_rss,mean_test_mae_deg,family,p_median,sd_test_rss,gamma_median
EE-0p42-data-225x225/EE-0.42data_rot_-12deg/arrow_segments.mat,90,Multiplicative RBF-VM RKHS,multiplicative_rbf_vm,88.2618893144557,4.0,0.033278433440819814,0.10691185585785343,13.165493526224092,kernel_gp_line_embedding_cv,,,
EE-0p43-data-225x225/EE-0.43data_rot_56.5deg/arrow_segments.mat,89,Gaussian RBF RKHS,gaussian_rbf,5.906326733764805,,0.18325612316644813,0.06844698464402241,9.219812959995043,kernel_gp_line_embedding_cv,,,
EE-0p43-data-225x225/EE-0.43data_rot_56.5deg/arrow_segments.mat,89,Uniform RKHS,uniform,7.6725933322651105,,0.18325612316644813,0.08807094430883958,11.059560744653254,kernel_gp_line_embedding_cv,,,
EE-0p43-data-225x225/EE-0.43data_rot_56.5deg/arrow_segments.mat,89,Multiplicative RBF-VM RKHS,multiplicative_rbf_vm,5.906326733764805,8.0,0.035136615028997,0.032071357688189264,6.814164077336008,kernel_gp_line_embedding_cv,,,
EE-0p6-data-225x225/EE-0.6data_rot_-67deg/arrow_segments.mat,65,Gaussian RBF RKHS,gaussian_rbf,10.542178181282909,,0.525437882814366,0.178586101412434,16.81741055055789,kernel_gp_line_embedding_cv,,,
EE-0p6-data-225x225/EE-0.6data_rot_-67deg/arrow_segments.mat,65,Uniform RKHS,uniform,10.542178181282909,,0.3476936327382466,0.1983577941913453,19.067116102090424,kernel_gp_line_embedding_cv,,,
EE-0p6-data-225x225/EE-0.6data_rot_-67deg/arrow_segments.mat,65,Multiplicative RBF-VM RKHS,multiplicative_rbf_vm,10.542178181282909,2.0,0.3476936327382466,0.161183365418431,15.96741088928905,kernel_gp_line_embedding_cv,,,
EE-0p62-data-225x225/EE-0.62data_rot_27deg/arrow_segments.mat,172,Gaussian RBF RKHS,gaussian_rbf,6.349222438575564,,0.121034431278444,0.14861143264771132,13.169576815815677,kernel_gp_line_embedding_cv,,,
EE-0p62-data-225x225/EE-0.62data_rot_27deg/arrow_segments.mat,172,Uniform RKHS,uniform,8.551588438172223,,0.1829083691229496,0.13924195532318365,13.120769156748418,kernel_gp_line_embedding_cv,,,
EE-0p62-data-225x225/EE-0.62data_rot_27deg/arrow_segments.mat,172,Multiplicative RBF-VM RKHS,multiplicative_rbf_vm,6.349222438575564,16.0,0.035069938403190136,0.11212135750055278,11.40052543053308,kernel_gp_line_embedding_cv,,,
EE-0p63-data-225x225/EE-0.63data_rot_6deg/arrow_segments.mat,41,Gaussian RBF RKHS,gaussian_rbf,3.5,,0.557134261745469,0.17538783764556196,17.72863864220228,kernel_gp_line_embedding_cv,,,
EE-0p63-data-225x225/EE-0.63data_rot_6deg/arrow_segments.mat,41,Uniform RKHS,uniform,7.28749602533562,,0.3686678135037716,0.1589096249040549,17.383951820616193,kernel_gp_line_embedding_cv,,,
EE-0p63-data-225x225/EE-0.63data_rot_6deg/arrow_segments.mat,41,Multiplicative RBF-VM RKHS,multiplicative_rbf_vm,84.0,4.0,0.3686678135037716,0.09936924367392609,13.745293124269518,kernel_gp_line_embedding_cv,,,
EE-0p8-data-226x225/EE-0.8data_rot_34deg/arrow_segments.mat,68,Gaussian RBF RKHS,gaussian_rbf,7.843218937289106,,0.5651004017213289,0.18766172112121587,16.13235172522222,kernel_gp_line_embedding_cv,,,
EE-0p8-data-226x225/EE-0.8data_rot_34deg/arrow_segments.mat,68,Uniform RKHS,uniform,10.26367999023247,,0.07169723345690918,0.15482408650423013,15.296905863133569,kernel_gp_line_embedding_cv,,,
EE-0p8-data-226x225/EE-0.8data_rot_34deg/arrow_segments.mat,68,Multiplicative RBF-VM RKHS,multiplicative_rbf_vm,115.5,4.0,0.5651004017213289,0.14931566524894893,16.22394328812852,kernel_gp_line_embedding_cv,,,
EE-0p82-data-225x225/EE-0.82data_rot_37deg/arrow_segments.mat,99,Gaussian RBF RKHS,gaussian_rbf,12.947669461618,,0.5785962050695388,0.12073240919435332,13.18179962207383,kernel_gp_line_embedding_cv,,,
EE-0p82-data-225x225/EE-0.82data_rot_37deg/arrow_segments.mat,99,Uniform RKHS,uniform,7.6725933322651105,,0.38286964645879007,0.136749095291473,14.146606717741577,kernel_gp_line_embedding_cv,,,
EE-0p82-data-225x225/EE-0.82data_rot_37deg/arrow_segments.mat,99,Multiplicative RBF-VM RKHS,multiplicative_rbf_vm,21.849476080315593,1.0,0.5785962050695388,0.1119129422799762,13.02405004109283,kernel_gp_line_embedding_cv,,,
EE-0p83-data-226x225/EE-0.83data_rot_-41.5deg/arrow_segments.mat,115,Gaussian RBF RKHS,gaussian_rbf,10.542178181282909,,0.4101398749736944,0.16394334487828485,12.96690104148104,kernel_gp_line_embedding_cv,,,
EE-0p83-data-226x225/EE-0.83data_rot_-41.5deg/arrow_segments.mat,115,Uniform RKHS,uniform,8.002299015798979,,0.11883874695895115,0.1671232966672481,12.465887944049094,kernel_gp_line_embedding_cv,,,
EE-0p83-data-226x225/EE-0.83data_rot_-41.5deg/arrow_segments.mat,115,Multiplicative RBF-VM RKHS,multiplicative_rbf_vm,6.0743414157001565,16.0,0.6198072304825997,0.14401638357741106,11.63815113868571,kernel_gp_line_embedding_cv,,,
EE-1-data-368x368/EE-1data_rot_58deg/arrow_segments.mat,151,Gaussian RBF RKHS,gaussian_rbf,4.665877950497776,,0.03516149657833926,0.0893780125910872,9.564345250796572,kernel_gp_line_embedding_cv,,,
EE-1-data-368x368/EE-1data_rot_58deg/arrow_segments.mat,151,Uniform RKHS,uniform,8.292090520962951,,0.6329069384101067,0.08454064350923658,9.638632349442592,kernel_gp_line_embedding_cv,,,
EE-1-data-368x368/EE-1data_rot_58deg/arrow_segments.mat,151,Multiplicative RBF-VM RKHS,multiplicative_rbf_vm,3.5,8.0,0.03516149657833926,0.06449832738649217,8.052062619904133,kernel_gp_line_embedding_cv,,,
EE-1-data-368x368/EE-1data_rot_60.5deg/arrow_segments.mat,154,Gaussian RBF RKHS,gaussian_rbf,3.5,,0.6335084240988161,0.0980218307054037,9.551299645686246,kernel_gp_line_embedding_cv,,,
EE-1-data-368x368/EE-1data_rot_60.5deg/arrow_segments.mat,154,Uniform RKHS,uniform,8.292090520962951,,0.4192062516798357,0.09406939171611448,9.507266201543258,kernel_gp_line_embedding_cv,,,
EE-1-data-368x368/EE-1data_rot_60.5deg/arrow_segments.mat,154,Multiplicative RBF-VM RKHS,multiplicative_rbf_vm,3.5,16.0,0.6335084240988161,0.07127535290917317,8.558537509944923,kernel_gp_line_embedding_cv,,,
EE-12-data-368x368/EE-12data_rot_78.5deg/arrow_segments.mat,117,Gaussian RBF RKHS,gaussian_rbf,6.0743414157001565,,0.6213822971429943,0.11595749858987492,11.688034883804486,kernel_gp_line_embedding_cv,,,
EE-12-data-368x368/EE-12data_rot_78.5deg/arrow_segments.mat,117,Uniform RKHS,uniform,10.542178181282909,,0.1800466086836456,0.13524267042319324,12.996604933025727,kernel_gp_line_embedding_cv,,,
EE-12-data-368x368/EE-12data_rot_78.5deg/arrow_segments.mat,117,Multiplicative RBF-VM RKHS,multiplicative_rbf_vm,10.542178181282909,1.0,0.6213822971429943,0.105998917008328,10.82337250817036,kernel_gp_line_embedding_cv,,,
EE-12-data-368x368/EE-12data_rot_80deg/arrow_segments.mat,120,Gaussian RBF RKHS,gaussian_rbf,6.0743414157001565,,0.034594878168431924,0.09718410952892591,12.217445413303986,kernel_gp_line_embedding_cv,,,
EE-12-data-368x368/EE-12data_rot_80deg/arrow_segments.mat,120,Uniform RKHS,uniform,8.002299015798979,,0.1804306774949858,0.10306488206843449,12.238022957252841,kernel_gp_line_embedding_cv,,,
EE-12-data-368x368/EE-12data_rot_80deg/arrow_segments.mat,120,Multiplicative RBF-VM RKHS,multiplicative_rbf_vm,6.0743414157001565,16.0,0.6227078070317745,0.08454962076467937,9.961356748035517,kernel_gp_line_embedding_cv,,,
EE-13-data-225x225/EE-13data_rot_59deg/arrow_segments.mat,143,Gaussian RBF RKHS,gaussian_rbf,14.73651174277032,,0.2763709260364653,0.07743011701396632,9.498704854055385,kernel_gp_line_embedding_cv,,,
EE-13-data-225x225/EE-13data_rot_59deg/arrow_segments.mat,143,Uniform RKHS,uniform,11.054252092940754,,0.08007895976504364,0.08138760608035844,9.77523549737979,kernel_gp_line_embedding_cv,,,
EE-13-data-225x225/EE-13data_rot_59deg/arrow_segments.mat,143,Multiplicative RBF-VM RKHS,multiplicative_rbf_vm,14.73651174277032,0.0,0.2763709260364653,0.07743011701396632,9.498704854055385,kernel_gp_line_embedding_cv,,,
EE-13-data-225x225/EE-13data_rot_64.5deg/arrow_segments.mat,145,Gaussian RBF RKHS,gaussian_rbf,11.054252092940754,,0.4183575411698191,0.08722640231933305,9.479972602094783,kernel_gp_line_embedding_cv,,,
EE-13-data-225x225/EE-13data_rot_64.5deg/arrow_segments.mat,145,Uniform RKHS,uniform,14.73651174277032,,0.2768362503549544,0.09660660857347235,10.32206940307634,kernel_gp_line_embedding_cv,,,
EE-13-data-225x225/EE-13data_rot_64.5deg/arrow_segments.mat,145,Multiplicative RBF-VM RKHS,multiplicative_rbf_vm,19.64536148795532,4.0,0.2768362503549544,0.07532282878153382,9.390851340030578,kernel_gp_line_embedding_cv,,,
EE0-data-225x225/EE0data_rot_34.5deg/arrow_segments.mat,153,Gaussian RBF RKHS,gaussian_rbf,3.5,,0.6337493611691217,0.07568654209362549,8.482243681772658,kernel_gp_line_embedding_cv,,,
EE0-data-225x225/EE0data_rot_34.5deg/arrow_segments.mat,153,Uniform RKHS,uniform,11.054252092940754,,0.4193656849601071,0.07399735206680438,8.765607090609528,kernel_gp_line_embedding_cv,,,
EE0-data-225x225/EE0data_rot_34.5deg/arrow_segments.mat,153,Multiplicative RBF-VM RKHS,multiplicative_rbf_vm,110.268636569268,1.0,0.03520829784272899,0.07187239208568352,8.860518391716303,kernel_gp_line_embedding_cv,,,
EE0-data-225x225/EE0data_rot_37.5deg/arrow_segments.mat,154,Gaussian RBF RKHS,gaussian_rbf,3.5,,0.4202976235981267,0.07691564633879092,7.90943941176491,kernel_gp_line_embedding_cv,,,
EE0-data-225x225/EE0data_rot_37.5deg/arrow_segments.mat,154,Uniform RKHS,uniform,8.292090520962951,,0.4202976235981267,0.07712733137174521,8.10546966458629,kernel_gp_line_embedding_cv,,,
EE0-data-225x225/EE0data_rot_37.5deg/arrow_segments.mat,154,Multiplicative RBF-VM RKHS,multiplicative_rbf_vm,34.913282666938585,2.0,0.08058577002939384,0.07639055170676659,8.717142403875947,kernel_gp_line_embedding_cv,,,
EE02-data-225x225/EE02data_rot_57.5deg/arrow_segments.mat,141,Gaussian RBF RKHS,gaussian_rbf,15.132790203511458,,0.6250967810655127,0.19910315688823949,16.430569540811184,kernel_gp_line_embedding_cv,,,
EE02-data-225x225/EE02data_rot_57.5deg/arrow_segments.mat,141,Uniform RKHS,uniform,15.132790203511458,,0.4136400852133423,0.19024676967203452,16.359800755355366,kernel_gp_line_embedding_cv,,,
