dataset,n,model,kernel,bandwidth,kappa,sigma_n,evidence_score
EE+0p8-data-226x225/EE_0.8data_rot_0deg/arrow_segments.mat,163,Uniform RKHS,uniform,117.51961628363846,,0.6211137847647866,-353.3680842431539
EE+0p8-data-226x225/EE_0.8data_rot_0deg/arrow_segments.mat,163,Multiplicative RBF-VM RKHS,multiplicative_rbf_vm,87.68800134256274,1.0,0.411004450253859,-194.87996500887127
EE+0p82-data-226x225/EE_0.82data_rot_-24.5deg/arrow_segments.mat,123,Gaussian RBF RKHS,gaussian_rbf,18.984779409205064,,0.40787969167627763,-180.53635213282726
EE+0p82-data-226x225/EE_0.82data_rot_-24.5deg/arrow_segments.mat,123,Uniform RKHS,uniform,102.97767120462187,,0.6163916202592707,-265.45542545880386
EE+0p82-data-226x225/EE_0.82data_rot_-24.5deg/arrow_segments.mat,123,Multiplicative RBF-VM RKHS,multiplicative_rbf_vm,33.35682646557795,0.5,0.40787969167627763,-174.41743161905254
EE+0p83-data-226x225/EE_0.83data_rot_43deg/arrow_segments.mat,158,Gaussian RBF RKHS,gaussian_rbf,20.894189947394523,,0.2546004188808181,-142.1928367095088
EE+0p83-data-226x225/EE_0.83data_rot_43deg/arrow_segments.mat,158,Uniform RKHS,uniform,124.7334781593721,,0.5814446796926532,-320.45779114366735
EE+0p83-data-226x225/EE_0.83data_rot_43deg/arrow_segments.mat,158,Multiplicative RBF-VM RKHS,multiplicative_rbf_vm,37.90338847138779,1.0,0.2546004188808181,-125.8705259449986
EE+1-data-225x225/EE_1data_rot_0deg/arrow_segments.mat,194,Gaussian RBF RKHS,gaussian_rbf,20.894189947394523,,0.27629904218184703,-193.36169796470207
EE+1-data-225x225/EE_1data_rot_0deg/arrow_segments.mat,194,Uniform RKHS,uniform,124.7334781593721,,0.6309989935877309,-424.1412257156423
EE+1-data-225x225/EE_1data_rot_0deg/arrow_segments.mat,194,Multiplicative RBF-VM RKHS,multiplicative_rbf_vm,68.75915559445191,1.0,0.27629904218184703,-152.83938001739
EE+12-data-225x225/EE_12data_rot_-41.5deg/arrow_segments.mat,101,Gaussian RBF RKHS,gaussian_rbf,17.576023799500128,,0.41226651627941346,-141.61079961581214
EE+12-data-225x225/EE_12data_rot_-41.5deg/arrow_segments.mat,101,Uniform RKHS,uniform,88.2618893144557,,0.6230210307940474,-221.1524587868386
EE+12-data-225x225/EE_12data_rot_-41.5deg/arrow_segments.mat,101,Multiplicative RBF-VM RKHS,multiplicative_rbf_vm,115.5,1.0,0.41226651627941346,-128.76595491083813
EE+13-data-225x225/EE_13data_rot_34.5deg/arrow_segments.mat,80,Gaussian RBF RKHS,gaussian_rbf,13.431108806750808,,0.3761340920381147,-125.41417432653496
EE+13-data-225x225/EE_13data_rot_34.5deg/arrow_segments.mat,80,Uniform RKHS,uniform,88.2618893144557,,0.5684173719787272,-163.89361289875325
EE+13-data-225x225/EE_13data_rot_34.5deg/arrow_segments.mat,80,Multiplicative RBF-VM RKHS,multiplicative_rbf_vm,115.5,1.0,0.3761340920381147,-115.06872487033729
EE-0p2-data-225x225/EE-0.2data_rot_62.5deg/arrow_segments.mat,196,Gaussian RBF RKHS,gaussian_rbf,20.280992505120025,,0.277884764914374,-217.8820316537538
EE-0p2-data-225x225/EE-0.2data_rot_62.5deg/arrow_segments.mat,196,Uniform RKHS,uniform,117.51961628363846,,0.6346203939387143,-430.4584995382302
EE-0p2-data-225x225/EE-0.2data_rot_62.5deg/arrow_segments.mat,196,Multiplicative RBF-VM RKHS,multiplicative_rbf_vm,117.51961628363846,1.0,0.277884764914374,-179.0264163452326
EE-0p22-data-225x225/EE-0.22data_rot_0deg/arrow_segments.mat,167,Gaussian RBF RKHS,gaussian_rbf,20.280992505120025,,0.2728529511538054,-110.57571514798448
EE-0p22-data-225x225/EE-0.22data_rot_0deg/arrow_segments.mat,167,Uniform RKHS,uniform,117.51961628363846,,0.6231289700316056,-361.7012774992312
EE-0p22-data-225x225/EE-0.22data_rot_0deg/arrow_segments.mat,167,Multiplicative RBF-VM RKHS,multiplicative_rbf_vm,157.5,1.0,0.2728529511538054,-65.61514237078308
EE-0p23-data-225x225/EE-0.23data_rot_90deg/arrow_segments.mat,117,Gaussian RBF RKHS,gaussian_rbf,11.054252092940754,,0.27525172039506307,-150.04671399052518
EE-0p23-data-225x225/EE-0.23data_rot_90deg/arrow_segments.mat,117,Uniform RKHS,uniform,110.268636569268,,0.628607168454337,-256.5634157313994
EE-0p23-data-225x225/EE-0.23data_rot_90deg/arrow_segments.mat,117,Multiplicative RBF-VM RKHS,multiplicative_rbf_vm,26.189388284631097,1.0,0.27525172039506307,-138.52964622953053
EE-0p4-data-225x225/EE-0.4data_rot_31deg/arrow_segments.mat,92,Gaussian RBF RKHS,gaussian_rbf,13.431108806750808,,0.40088967419547605,-132.3049813166959
