dataset,n,model,kernel,bandwidth,kappa,sigma_n,evidence_score,family,p,rss_per_point,mae_deg,bic
Front_EE1_1_3000x_rings_coords.csv,136,Parametric p=0 (Logarithmic),,,,,-174.879212268793,parametric_fixed_p,0.0,0.7391559091069033,42.162405620942565,349.758424537586
Front_EE1_1_3000x_rings_coords.csv,136,Parametric p=1 (Archimedean),,,,,-175.61544626462194,parametric_fixed_p,1.0,0.7472022082705471,42.84384645191857,351.2308925292439
Front_EE1_1_3000x_rings_coords.csv,136,Parametric p=2 (Fermat),,,,,-179.9418655532393,parametric_fixed_p,2.0,0.7962869854659269,43.22828813396805,359.8837311064786
Front_EE1_1_3000x_rings_coords.csv,136,Parametric continuous p,,,,,-175.7056339449615,parametric_continuous_p,-0.999,0.721649576039795,41.969028459532126,351.411267889923
Front_EE1_2_3000x_rings_coords.csv,178,Parametric p=0 (Logarithmic),,,,,-221.37469047805916,parametric_fixed_p,0.0,0.6841130226871599,40.680243870641405,442.74938095611833
Front_EE1_2_3000x_rings_coords.csv,178,Parametric p=1 (Archimedean),,,,,-220.83865153305555,parametric_fixed_p,1.0,0.6800050552438041,40.25293119789025,441.6773030661111
Front_EE1_2_3000x_rings_coords.csv,178,Parametric p=2 (Fermat),,,,,-221.5579414198272,parametric_fixed_p,2.0,0.6855230620902149,40.23083221731235,443.1158828396544
Front_EE1_2_3000x_rings_coords.csv,178,Parametric continuous p,,,,,-223.32135160809898,parametric_continuous_p,1.3,0.6791789181273878,40.2303259478956,446.64270321619796
Front_EE1_3_3000x_rings_coords.csv,180,Parametric p=0 (Logarithmic),,,,,-221.1102271828108,parametric_fixed_p,0.0,0.6636857400074386,39.77553287116056,442.2204543656216
Front_EE1_3_3000x_rings_coords.csv,180,Parametric p=1 (Archimedean),,,,,-221.2371853893668,parametric_fixed_p,1.0,0.6646226267854183,39.316916510450945,442.4743707787336
Front_EE1_3_3000x_rings_coords.csv,180,Parametric p=2 (Fermat),,,,,-224.03261527440526,parametric_fixed_p,2.0,0.6855899668886711,39.71821489995409,448.0652305488105
Front_EE1_3_3000x_rings_coords.csv,180,Parametric continuous p,,,,,-223.5008329023173,parametric_continuous_p,0.6913489721882301,0.6621693108519876,39.250254693968614,447.0016658046346
Front_EE1_4_3000x_rings_coords.csv,163,Parametric p=0 (Logarithmic),,,,,-201.8478776784906,parametric_fixed_p,0.0,0.6753893147155848,40.43382911888096,403.6957553569812
Front_EE1_4_3000x_rings_coords.csv,163,Parametric p=1 (Archimedean),,,,,-200.19438675817662,parametric_fixed_p,1.0,0.6618249235343066,39.95587914752555,400.38877351635324
Front_EE1_4_3000x_rings_coords.csv,163,Parametric p=2 (Fermat),,,,,-201.29492119955228,parametric_fixed_p,2.0,0.6708224823250335,40.090404909709534,402.58984239910455
Front_EE1_4_3000x_rings_coords.csv,163,Parametric continuous p,,,,,-202.68182150126142,parametric_continuous_p,0.8637256449400142,0.6613424110455125,39.91068293652482,405.36364300252285
Front_EE1_5_3000x_rings_coords.csv,180,Parametric p=0 (Logarithmic),,,,,-237.14614135765092,parametric_fixed_p,0.0,0.7931287594353192,44.483630967492815,474.29228271530184
Front_EE1_5_3000x_rings_coords.csv,180,Parametric p=1 (Archimedean),,,,,-237.20921728294363,parametric_fixed_p,1.0,0.7936848134924446,44.11901829927366,474.41843456588725
Front_EE1_5_3000x_rings_coords.csv,180,Parametric p=2 (Fermat),,,,,-238.53227866423597,parametric_fixed_p,2.0,0.805438704988804,44.24469499151856,477.06455732847195
Front_EE1_5_3000x_rings_coords.csv,180,Parametric continuous p,,,,,-238.4432461164353,parametric_continuous_p,-0.999,0.7817602386179661,44.03819144785671,476.8864922328706
