dataset,n,model,kernel,bandwidth,kappa,mean_test_rss,sd_test_rss,mean_test_mae_deg
Front_EE-1_1_3000x_rings_coords.csv,168,RBF kernel smoother,rbf,435.79987625786634,,0.7151231259116905,0.20637413577256716,41.4310728288756
Front_EE-1_1_3000x_rings_coords.csv,168,RBF kernel smoother,rbf,483.0819184132056,,0.7133151627987282,0.20762587157433918,41.38316000408726
Front_EE-1_1_3000x_rings_coords.csv,168,RBF kernel smoother,rbf,535.4938186345357,,0.7118342832837338,0.2086558440006695,41.34197817992257
Front_EE-1_1_3000x_rings_coords.csv,168,RBF kernel smoother,rbf,593.5921401026685,,0.7106241117392234,0.20949652532037527,41.30714501293091
Front_EE-1_1_3000x_rings_coords.csv,168,RBF kernel smoother,rbf,657.9938302371681,,0.7096366036021026,0.2101800433213305,41.277989748658925
Front_EE-1_1_3000x_rings_coords.csv,168,RBF kernel smoother,rbf,729.3827720752748,,0.7088315498118767,0.21073481665867522,41.25376132839164
Front_EE-1_1_3000x_rings_coords.csv,168,RBF kernel smoother,rbf,808.5170464416935,,0.7081756444033105,0.21118481485762533,41.233728846978046
Front_EE-1_1_3000x_rings_coords.csv,168,RBF kernel smoother,rbf,896.236982026408,,0.7076414717403119,0.21154980470148227,41.217226263984045
Front_EE-1_1_3000x_rings_coords.csv,168,RBF kernel smoother,rbf,993.474078854478,,0.707206554206874,0.2118459086066419,41.203668415582285
Front_EE-1_1_3000x_rings_coords.csv,168,RBF kernel smoother,rbf,1101.260899906349,,0.7068525102305372,0.21208620730946684,41.19255257033522
Front_EE-1_1_3000x_rings_coords.csv,168,RBF kernel smoother,rbf,1220.7420359280322,,0.7065643333084077,0.21228128929763934,41.18345308578843
Front_EE-1_1_3000x_rings_coords.csv,168,RBF kernel smoother,rbf,1353.1862598667076,,0.7063297859843573,0.21243971928057986,41.17601317414456
Front_EE-1_1_3000x_rings_coords.csv,168,RBF kernel smoother,rbf,1500.0,,0.7061388962367445,0.21256842540625465,41.16993587464236
Front_EE-1_1_3000x_rings_coords.csv,168,RBF-von-Mises kernel smoother,multiplicative_rbf_vm,1.0,0.0,0.38494988518651974,0.16930898266190814,26.96235895317053
Front_EE-1_1_3000x_rings_coords.csv,168,RBF-von-Mises kernel smoother,multiplicative_rbf_vm,1.0,0.125,0.38495047429731954,0.1693092194844876,26.96238530944051
Front_EE-1_1_3000x_rings_coords.csv,168,RBF-von-Mises kernel smoother,multiplicative_rbf_vm,1.0,0.25,0.3849510635618955,0.16930945628801783,26.962411667445718
