dataset,n,model,kernel,bandwidth,kappa,mean_test_rss,sd_test_rss,mean_test_mae_deg
Front_EE-1_1_3000x_rings_coords.csv,168,RBF pitch kernel smoother,rbf_pitch,211.90994787668282,,0.5883079447822341,0.11538846246971067,35.848771022180614
Front_EE-1_1_3000x_rings_coords.csv,168,RBF pitch kernel smoother,rbf_pitch,234.90108586111037,,0.5883761933476549,0.11676056025980394,35.84682700430811
Front_EE-1_1_3000x_rings_coords.csv,168,RBF pitch kernel smoother,rbf_pitch,260.38664390988805,,0.5884624515313688,0.117933369344734,35.844985158894126
Front_EE-1_1_3000x_rings_coords.csv,168,RBF pitch kernel smoother,rbf_pitch,288.63725375345246,,0.5885541362515705,0.11892521990778393,35.84329712744391
Front_EE-1_1_3000x_rings_coords.csv,168,RBF pitch kernel smoother,rbf_pitch,319.9529092712089,,0.5886436300662877,0.11975724883713619,35.841788245521926
Front_EE-1_1_3000x_rings_coords.csv,168,RBF pitch kernel smoother,rbf_pitch,354.6661521334748,,0.588726681059908,0.12045084861880603,35.84046513652973
Front_EE-1_1_3000x_rings_coords.csv,168,RBF pitch kernel smoother,rbf_pitch,393.1456030691707,,0.5888012413490002,0.12102623468604963,35.83932214548025
Front_EE-1_1_3000x_rings_coords.csv,168,RBF pitch kernel smoother,rbf_pitch,435.79987625786634,,0.5888164701611195,0.12147725358853283,35.83743112874994
Front_EE-1_1_3000x_rings_coords.csv,168,RBF pitch kernel smoother,rbf_pitch,483.0819184132056,,0.588782589461464,0.12182559779091687,35.83495873248352
Front_EE-1_1_3000x_rings_coords.csv,168,RBF pitch kernel smoother,rbf_pitch,535.4938186345357,,0.5887566371161769,0.12211260406215815,35.83291573994005
Front_EE-1_1_3000x_rings_coords.csv,168,RBF pitch kernel smoother,rbf_pitch,593.5921401026685,,0.5887366060944089,0.12234850462597639,35.83123229113825
Front_EE-1_1_3000x_rings_coords.csv,168,RBF pitch kernel smoother,rbf_pitch,657.9938302371681,,0.5887210349242528,0.12254202770329459,35.82984828411281
Front_EE-1_1_3000x_rings_coords.csv,168,RBF pitch kernel smoother,rbf_pitch,729.3827720752748,,0.5887088514257914,0.12270054220387086,35.8287125844367
Front_EE-1_1_3000x_rings_coords.csv,168,RBF pitch kernel smoother,rbf_pitch,808.5170464416935,,0.588699262497099,0.12283022107389789,35.8277820669591
Front_EE-1_1_3000x_rings_coords.csv,168,RBF pitch kernel smoother,rbf_pitch,896.236982026408,,0.5886916763297008,0.12293620450926407,35.82702061332309
Front_EE-1_1_3000x_rings_coords.csv,168,RBF pitch kernel smoother,rbf_pitch,993.474078854478,,0.5886856473695767,0.1230227528599158,35.82639814081844
Front_EE-1_1_3000x_rings_coords.csv,168,RBF pitch kernel smoother,rbf_pitch,1101.260899906349,,0.5886808372055501,0.12309338436969613,35.825889704812425
Front_EE-1_1_3000x_rings_coords.csv,168,RBF pitch kernel smoother,rbf_pitch,1220.7420359280322,,0.5886769866152844,0.12315099608182684,35.825474694856155
Front_EE-1_1_3000x_rings_coords.csv,168,RBF pitch kernel smoother,rbf_pitch,1353.1862598667076,,0.5886738954449887,0.1231979680671675,35.82513613049495
Front_EE-1_1_3000x_rings_coords.csv,168,RBF pitch kernel smoother,rbf_pitch,1500.0,,0.5886714080104467,0.12323625210871754,35.82486005436418
Front_EE-1_1_3000x_rings_coords.csv,168,RBF-von-Mises pitch kernel smoother,multiplicative_pitch,1.0,0.0,0.6266646434722183,0.13792788423720218,38.22784413640601
Front_EE-1_1_3000x_rings_coords.csv,168,RBF-von-Mises pitch kernel smoother,multiplicative_pitch,1.0,0.125,0.6099328454942248,0.1361682224112293,37.3738228685233
Front_EE-1_1_3000x_rings_coords.csv,168,RBF-von-Mises pitch kernel smoother,multiplicative_pitch,1.0,0.25,0.5965185630990933,0.1440406795919934,36.4890349616948
Front_EE-1_1_3000x_rings_coords.csv,168,RBF-von-Mises pitch kernel smoother,multiplicative_pitch,1.0,0.5,0.5606184783470438,0.14072881442411495,34.73191312639237
Front_EE-1_1_3000x_rings_coords.csv,168,RBF-von-Mises pitch kernel smoother,multiplicative_pitch,1.0,0.75,0.5398992440489503,0.1420185997379549,33.5247370546105
Front_EE-1_1_3000x_rings_coords.csv,168,RBF-von-Mises pitch kernel smoother,multiplicative_pitch,1.0,1.0,0.5245069810509829,0.14454086317781434,32.63990972244126
Front_EE-1_1_3000x_rings_coords.csv,168,RBF-von-Mises pitch kernel smoother,multiplicative_pitch,1.0,1.25,0.5135495507881617,0.14552083873162483,32.09223793067506
Front_EE-1_1_3000x_rings_coords.csv,168,RBF-von-Mises pitch kernel smoother,multiplicative_pitch,1.0,1.5,0.5073001360023414,0.145829736806896,31.88296087366931
Front_EE-1_1_3000x_rings_coords.csv,168,RBF-von-Mises pitch kernel smoother,multiplicative_pitch,1.0,2.0,0.5025039024304729,0.1399346897087952,31.546588372907053
Front_EE-1_1_3000x_rings_coords.csv,168,RBF-von-Mises pitch kernel smoother,multiplicative_pitch,1.0,3.0,0.48645626078027754,0.13044785422846564,30.441001270790462
Front_EE-1_1_3000x_rings_coords.csv,168,RBF-von-Mises pitch kernel smoother,multiplicative_pitch,1.0,4.0,0.4874001040329846,0.11932861975350652,30.39695916577237
Front_EE-1_1_3000x_rings_coords.csv,168,RBF-von-Mises pitch kernel smoother,multiplicative_pitch,1.0,6.0,0.5007018429116294,0.11975874350843774,30.9973640477805
