dataset,n,estimator,model,kernel,bandwidth,kappa,sigma_n,mean_test_rss,sd_test_rss,mean_test_mae_deg,n_folds
EE+0p63-data-225x225/EE_0.63data_rot_-30.5deg/arrow_segments.mat,87,GP/KRR,GP/KRR RBF-von-Mises line field,multiplicative_rbf_vm,220.0,16.0,1.0,0.14586276027645373,0.20021236495695954,14.525260285938842,10
EE+0p63-data-225x225/EE_0.63data_rot_-30.5deg/arrow_segments.mat,87,GP/KRR,GP/KRR RBF line field,rbf,10.090099168608685,,1.0,0.18566270935277354,0.19659388972257472,17.197078317093418,10
EE+0p63-data-225x225/EE_0.63data_rot_-30.5deg/arrow_segments.mat,87,GP/KRR,GP/KRR uniform line field,uniform,21.80355181091204,,0.06,0.5230756122183149,0.2503134592957569,34.000497122409115,10
EE+0p63-data-225x225/EE_0.63data_rot_-30.5deg/arrow_segments.mat,87,Nadaraya-Watson,NW RBF-von-Mises line field,multiplicative_rbf_vm,21.80355181091204,32.0,,0.14303680428501434,0.18869517765088764,14.565023678240966,10
EE+0p63-data-225x225/EE_0.63data_rot_-30.5deg/arrow_segments.mat,87,Nadaraya-Watson,NW RBF line field,rbf,10.090099168608685,,,0.20428121509346436,0.1654881821414648,19.871342718314587,10
EE+0p63-data-225x225/EE_0.63data_rot_-30.5deg/arrow_segments.mat,87,Nadaraya-Watson,NW uniform line field,uniform,10.090099168608685,,,0.19223415553022274,0.1662157856950115,19.903922782175307,10
EE+0p8-data-226x225/EE_0.8data_rot_0deg/arrow_segments.mat,163,GP/KRR,GP/KRR RBF-von-Mises line field,multiplicative_rbf_vm,220.0,2.0,0.18,0.15954501120398962,0.14600440467869383,14.53367633385981,10
EE+0p8-data-226x225/EE_0.8data_rot_0deg/arrow_segments.mat,163,GP/KRR,GP/KRR RBF line field,rbf,21.80355181091204,,1.0,0.1897967267949863,0.17629364408059914,16.959239826999813,10
EE+0p8-data-226x225/EE_0.8data_rot_0deg/arrow_segments.mat,163,GP/KRR,GP/KRR uniform line field,uniform,47.11498505883144,,0.32,0.6057319215323738,0.16712258333265032,37.72608939028202,10
EE+0p8-data-226x225/EE_0.8data_rot_0deg/arrow_segments.mat,163,Nadaraya-Watson,NW RBF-von-Mises line field,multiplicative_rbf_vm,21.80355181091204,16.0,,0.20121095329842778,0.18319179966721705,18.17701046477712,10
EE+0p8-data-226x225/EE_0.8data_rot_0deg/arrow_segments.mat,163,Nadaraya-Watson,NW RBF line field,rbf,10.090099168608685,,,0.22177608217704012,0.19345824217755644,19.849441620497522,10
EE+0p8-data-226x225/EE_0.8data_rot_0deg/arrow_segments.mat,163,Nadaraya-Watson,NW uniform line field,uniform,21.80355181091204,,,0.22406724547652074,0.19282422553219478,20.381442854371258,10
EE+0p82-data-226x225/EE_0.82data_rot_-24.5deg/arrow_segments.mat,123,GP/KRR,GP/KRR RBF-von-Mises line field,multiplicative_rbf_vm,10.090099168608685,0.5,1.0,0.15772705389387093,0.10723712497564895,16.479347185323974,10
EE+0p82-data-226x225/EE_0.82data_rot_-24.5deg/arrow_segments.mat,123,GP/KRR,GP/KRR RBF line field,rbf,10.090099168608685,,1.0,0.159282254426493,0.10822844287852326,16.480712019451104,10
EE+0p82-data-226x225/EE_0.82data_rot_-24.5deg/arrow_segments.mat,123,GP/KRR,GP/KRR uniform line field,uniform,10.090099168608685,,0.03,0.500007971912803,0.17830231976237892,33.49690121314588,10
EE+0p82-data-226x225/EE_0.82data_rot_-24.5deg/arrow_segments.mat,123,Nadaraya-Watson,NW RBF-von-Mises line field,multiplicative_rbf_vm,10.090099168608685,16.0,,0.19564812880990104,0.11830427253728709,18.85371997842345,10
