dataset,kernel,GP/KRR,Nadaraya-Watson,gp_minus_nw_rss
EE-0p23-data-225x225/EE-0.23data_rot_90deg/arrow_segments.mat,multiplicative_rbf_vm,0.12052977671001823,0.1508910294852196,-0.030361252775201367
EE-0p23-data-225x225/EE-0.23data_rot_90deg/arrow_segments.mat,rbf,0.1326180372395824,0.1508910294852196,-0.018272992245637193
EE-0p23-data-225x225/EE-0.23data_rot_90deg/arrow_segments.mat,uniform,0.5983992497906305,0.1919860083771484,0.4064132414134821
EE-0p4-data-225x225/EE-0.4data_rot_31deg/arrow_segments.mat,multiplicative_rbf_vm,0.15238298169475434,0.2074052495262509,-0.05502226783149655
EE-0p4-data-225x225/EE-0.4data_rot_31deg/arrow_segments.mat,rbf,0.2202212855873856,0.3013837149620294,-0.08116242937464382
EE-0p4-data-225x225/EE-0.4data_rot_31deg/arrow_segments.mat,uniform,0.5679207448655712,0.30719478905533926,0.26072595581023195
EE-0p42-data-225x225/EE-0.42data_rot_-12deg/arrow_segments.mat,multiplicative_rbf_vm,0.1730004957287055,0.22486690122122002,-0.051866405492514533
EE-0p42-data-225x225/EE-0.42data_rot_-12deg/arrow_segments.mat,rbf,0.1755464836082033,0.2457798246321501,-0.0702333410239468
EE-0p42-data-225x225/EE-0.42data_rot_-12deg/arrow_segments.mat,uniform,0.5199134522863977,0.238853269559092,0.2810601827273057
EE-0p43-data-225x225/EE-0.43data_rot_56.5deg/arrow_segments.mat,multiplicative_rbf_vm,0.08802115608375845,0.15581878984410852,-0.06779763376035007
EE-0p43-data-225x225/EE-0.43data_rot_56.5deg/arrow_segments.mat,rbf,0.13650470136092044,0.19704774184254842,-0.06054304048162798
EE-0p43-data-225x225/EE-0.43data_rot_56.5deg/arrow_segments.mat,uniform,0.5502328642579879,0.2194040413413197,0.3308288229166682
EE-0p6-data-225x225/EE-0.6data_rot_-67deg/arrow_segments.mat,multiplicative_rbf_vm,0.2541706937385907,0.24961276082322786,0.004557932915362828
EE-0p6-data-225x225/EE-0.6data_rot_-67deg/arrow_segments.mat,rbf,0.2541706937385907,0.24961276082322786,0.004557932915362828
EE-0p6-data-225x225/EE-0.6data_rot_-67deg/arrow_segments.mat,uniform,0.32071561774751256,0.2704793026138896,0.05023631513362298
EE-0p62-data-225x225/EE-0.62data_rot_27deg/arrow_segments.mat,multiplicative_rbf_vm,0.20774771266518455,0.23835139073002512,-0.030603678064840573
EE-0p62-data-225x225/EE-0.62data_rot_27deg/arrow_segments.mat,rbf,0.23045293966515054,0.26511805812699596,-0.03466511846184542
EE-0p62-data-225x225/EE-0.62data_rot_27deg/arrow_segments.mat,uniform,0.6388375956697393,0.27670018486061687,0.36213741080912243
EE-0p63-data-225x225/EE-0.63data_rot_6deg/arrow_segments.mat,multiplicative_rbf_vm,0.22899508853559292,0.27533779135671665,-0.04634270282112374
EE-0p63-data-225x225/EE-0.63data_rot_6deg/arrow_segments.mat,rbf,0.3132872522192963,0.3658067424288876,-0.05251949020959129
EE-0p63-data-225x225/EE-0.63data_rot_6deg/arrow_segments.mat,uniform,0.44402469158697466,0.3875006044598885,0.056524087127086176
EE-0p8-data-226x225/EE-0.8data_rot_34deg/arrow_segments.mat,multiplicative_rbf_vm,0.09957110165304076,0.1109801064947388,-0.011409004841698045
EE-0p8-data-226x225/EE-0.8data_rot_34deg/arrow_segments.mat,rbf,0.20359687947149743,0.2116318208463293,-0.008034941374831878
EE-0p8-data-226x225/EE-0.8data_rot_34deg/arrow_segments.mat,uniform,0.4192744367065657,0.20816973477816342,0.2111047019284023
EE-0p82-data-225x225/EE-0.82data_rot_37deg/arrow_segments.mat,multiplicative_rbf_vm,0.12531282497576987,0.14775004911635903,-0.022437224140589157
EE-0p82-data-225x225/EE-0.82data_rot_37deg/arrow_segments.mat,rbf,0.15970540316922388,0.19538706391560706,-0.03568166074638318
EE-0p82-data-225x225/EE-0.82data_rot_37deg/arrow_segments.mat,uniform,0.5077319731767298,0.20567327504237154,0.30205869813435826
EE-0p83-data-226x225/EE-0.83data_rot_-41.5deg/arrow_segments.mat,multiplicative_rbf_vm,0.18304018527409538,0.20388895477970137,-0.02084876950560599
EE-0p83-data-226x225/EE-0.83data_rot_-41.5deg/arrow_segments.mat,rbf,0.23401206839173622,0.27717701319745386,-0.04316494480571764
EE-0p83-data-226x225/EE-0.83data_rot_-41.5deg/arrow_segments.mat,uniform,0.5593549051724171,0.26463946941091376,0.2947154357615034
EE-1-data-368x368/EE-1data_rot_58deg/arrow_segments.mat,multiplicative_rbf_vm,0.08441040814301745,0.09051411097133014,-0.006103702828312685
EE-1-data-368x368/EE-1data_rot_58deg/arrow_segments.mat,rbf,0.15035681448025112,0.16124851665467338,-0.010891702174422258
EE-1-data-368x368/EE-1data_rot_58deg/arrow_segments.mat,uniform,0.4447803005766343,0.19004100433858845,0.25473929623804586
EE-1-data-368x368/EE-1data_rot_60.5deg/arrow_segments.mat,multiplicative_rbf_vm,0.09690233562692754,0.1552956609082891,-0.05839332528136157
EE-1-data-368x368/EE-1data_rot_60.5deg/arrow_segments.mat,rbf,0.14919620752536913,0.21329575685355642,-0.06409954932818729
EE-1-data-368x368/EE-1data_rot_60.5deg/arrow_segments.mat,uniform,0.537689422359249,0.20442517238181393,0.3332642499774351
EE-12-data-368x368/EE-12data_rot_78.5deg/arrow_segments.mat,multiplicative_rbf_vm,0.15311236064517933,0.21497586471140862,-0.061863504066229286
EE-12-data-368x368/EE-12data_rot_78.5deg/arrow_segments.mat,rbf,0.1790988801342536,0.2401887590593343,-0.06108987892508069
EE-12-data-368x368/EE-12data_rot_78.5deg/arrow_segments.mat,uniform,0.47481850029751643,0.27264394145456894,0.2021745588429475
EE-12-data-368x368/EE-12data_rot_80deg/arrow_segments.mat,multiplicative_rbf_vm,0.1426743315037848,0.15188127840793586,-0.009206946904151053
EE-12-data-368x368/EE-12data_rot_80deg/arrow_segments.mat,rbf,0.2002919624999217,0.2498188327252937,-0.049526870225372
EE-12-data-368x368/EE-12data_rot_80deg/arrow_segments.mat,uniform,0.5937751897204189,0.2841609576320542,0.3096142320883647
EE-13-data-225x225/EE-13data_rot_59deg/arrow_segments.mat,multiplicative_rbf_vm,0.07995866410081624,0.098941806406594,-0.01898314230577776
EE-13-data-225x225/EE-13data_rot_59deg/arrow_segments.mat,rbf,0.09588020367890708,0.12611446737118176,-0.03023426369227468
EE-13-data-225x225/EE-13data_rot_59deg/arrow_segments.mat,uniform,0.5921068750028756,0.14692796623280707,0.44517890877006855
EE-13-data-225x225/EE-13data_rot_64.5deg/arrow_segments.mat,multiplicative_rbf_vm,0.09597366255300759,0.11268035282397522,-0.016706690270967633
EE-13-data-225x225/EE-13data_rot_64.5deg/arrow_segments.mat,rbf,0.14397430208199175,0.17381879752809007,-0.029844495446098324
EE-13-data-225x225/EE-13data_rot_64.5deg/arrow_segments.mat,uniform,0.5265093511832757,0.19116898141786093,0.33534036976541476
EE0-data-225x225/EE0data_rot_34.5deg/arrow_segments.mat,multiplicative_rbf_vm,0.09836842828401922,0.13616783845069777,-0.03779941016667855
EE0-data-225x225/EE0data_rot_34.5deg/arrow_segments.mat,rbf,0.09836842828401922,0.15077444555813085,-0.052406017274111635
EE0-data-225x225/EE0data_rot_34.5deg/arrow_segments.mat,uniform,0.561569944482029,0.15940352577256164,0.40216641870946734
EE0-data-225x225/EE0data_rot_37.5deg/arrow_segments.mat,multiplicative_rbf_vm,0.08299466880120814,0.09849789847856635,-0.015503229677358218
EE0-data-225x225/EE0data_rot_37.5deg/arrow_segments.mat,rbf,0.09920483622570811,0.12467365288320797,-0.025468816657499865
EE0-data-225x225/EE0data_rot_37.5deg/arrow_segments.mat,uniform,0.5216998099542312,0.12757126741599029,0.39412854253824087
EE02-data-225x225/EE02data_rot_57.5deg/arrow_segments.mat,multiplicative_rbf_vm,0.24054129580002734,0.29655942792318374,-0.0560181321231564
EE02-data-225x225/EE02data_rot_57.5deg/arrow_segments.mat,rbf,0.26761175567772316,0.307445777193622,-0.03983402151589882
EE02-data-225x225/EE02data_rot_57.5deg/arrow_segments.mat,uniform,0.46799768723264157,0.3456768886343281,0.12232079859831346
EE02-data-225x225/EE02data_rot_59.5deg/arrow_segments.mat,multiplicative_rbf_vm,0.2127032186899883,0.22903068299095897,-0.01632746430097068
EE02-data-225x225/EE02data_rot_59.5deg/arrow_segments.mat,rbf,0.2127032186899883,0.22903068299095897,-0.01632746430097068
EE02-data-225x225/EE02data_rot_59.5deg/arrow_segments.mat,uniform,0.6421526212506622,0.25660134300064835,0.38555127825001384
EE03-data-225x225/EE03data_rot_-20.5deg/arrow_segments.mat,multiplicative_rbf_vm,0.20386367858223092,0.25229164052277275,-0.04842796194054183
EE03-data-225x225/EE03data_rot_-20.5deg/arrow_segments.mat,rbf,0.24065910305299498,0.29861380306641194,-0.05795470001341696
EE03-data-225x225/EE03data_rot_-20.5deg/arrow_segments.mat,uniform,0.5807066285578443,0.312818993500377,0.26788763505746727
EE03-data-225x225/EE03data_rot_-23.5deg/arrow_segments.mat,multiplicative_rbf_vm,0.1568988527152742,0.19473509387651947,-0.03783624116124526
EE03-data-225x225/EE03data_rot_-23.5deg/arrow_segments.mat,rbf,0.1646427005381837,0.2025821435115292,-0.037939442973345505
EE03-data-225x225/EE03data_rot_-23.5deg/arrow_segments.mat,uniform,0.5411633073870222,0.22907457547364402,0.3120887319133782
